scenario_id,scenario_slug,channel,format,width,height,ratio,max_kb,placement,platform,priority,brief_file
S01,master-creative-system,meta,feed_image,1080,1350,4:5,30720,feed,meta,P0,BRIEFS/2026-08-27_s01_meta-45.md
S01,master-creative-system,meta,stories_reels,1080,1920,9:16,30720,stories,meta,P0,BRIEFS/2026-08-27_s01_meta-916.md
S01,master-creative-system,tiktok,in_feed,1080,1920,9:16,512000,in_feed,tiktok,P0,BRIEFS/2026-08-27_s01_tiktok-916.md
S01,master-creative-system,youtube,shorts,1080,1920,9:16,,shorts,youtube,P1,
S02,spec-first-safezone,meta,feed_image,1080,1350,4:5,30720,feed,meta,P0,BRIEFS/2026-08-27_s02_meta-45.md
S02,spec-first-safezone,meta,stories_reels,1080,1920,9:16,30720,stories,meta,P0,BRIEFS/2026-08-27_s02_meta-916.md
S02,spec-first-safezone,tiktok,in_feed,1080,1920,9:16,512000,in_feed,tiktok,P0,BRIEFS/2026-08-27_s02_tiktok-916.md
S03,concept-diversity-advantage,meta,feed_image,1080,1350,4:5,30720,feed,meta,P1,
S03,concept-diversity-advantage,meta,stories_reels,1080,1920,9:16,30720,stories,meta,P1,
S03,concept-diversity-advantage,tiktok,in_feed,1080,1920,9:16,512000,in_feed,tiktok,P1,
S04,dco-feed-velocity,meta,feed_image,1080,1350,4:5,30720,feed,meta,P1,
S04,dco-feed-velocity,meta,carousel,1080,1080,1:1,30720,feed,meta,P2,
S04,dco-feed-velocity,google,horizontal,1200,628,1.91:1,5120,display,google,P2,
S05,soc-meta-tiktok-dual,meta,feed_image,1080,1350,4:5,30720,feed,meta,P1,
S05,soc-meta-tiktok-dual,meta,stories_reels,1080,1920,9:16,30720,stories,meta,P1,
S05,soc-meta-tiktok-dual,tiktok,in_feed,1080,1920,9:16,512000,in_feed,tiktok,P1,
S06,brief-to-spec-pipeline,meta,feed_image,1080,1350,4:5,30720,feed,meta,P1,
S06,brief-to-spec-pipeline,meta,stories_reels,1080,1920,9:16,30720,stories,meta,P1,
S06,brief-to-spec-pipeline,tiktok,in_feed,1080,1920,9:16,512000,in_feed,tiktok,P1,
S07,multi-brand-guardrails,meta,feed_image,1080,1350,4:5,30720,feed,meta,P2,
S07,multi-brand-guardrails,linkedin,single_image,1200,627,1.91:1,5120,feed,linkedin,P2,
S07,multi-brand-guardrails,meta,stories_reels,1080,1920,9:16,30720,stories,meta,P2,
S08,format-lab-wave,meta,feed_image,1080,1350,4:5,30720,feed,meta,P1,
S08,format-lab-wave,meta,stories_reels,1080,1920,9:16,30720,stories,meta,P1,
S08,format-lab-wave,tiktok,in_feed,1080,1920,9:16,512000,in_feed,tiktok,P1,
S08,format-lab-wave,iab,medium_rectangle,300,250,1.2:1,150,display,iab,P2,
_,base_catalog,meta,feed_image,1080,1350,4:5,30720,feed,meta,catalog,
_,base_catalog,meta,stories_reels,1080,1920,9:16,30720,stories,meta,catalog,
_,base_catalog,meta,carousel,1080,1080,1:1,30720,feed,meta,catalog,
_,base_catalog,meta,link_preview,1200,628,1.91:1,30720,link,meta,catalog,
_,base_catalog,tiktok,in_feed,1080,1920,9:16,512000,in_feed,tiktok,catalog,
_,base_catalog,google,horizontal,1200,628,1.91:1,5120,display,google,catalog,
_,base_catalog,google,square,1200,1200,1:1,5120,display,google,catalog,
_,base_catalog,youtube,standard,1920,1080,16:9,,-,youtube,catalog,
_,base_catalog,youtube,shorts,1080,1920,9:16,,-,youtube,catalog,
_,base_catalog,iab,medium_rectangle,300,250,1.2:1,150,display,iab,catalog,
_,base_catalog,iab,leaderboard,728,90,8.09:1,150,display,iab,catalog,
_,base_catalog,iab,mobile_banner,320,50,6.4:1,150,mobile,iab,catalog,
