id,ad,NIST_CSF,800-53,ISO27001,CIS,OWASP,status
"LAY-001","Defense-in-depth envanteri","ID.AM-01 GV.OC","CM-8 PM-5","A.5.9 A.8.9","CIS-1","ASVS-5 architecture",ASSESS
"LAY-002","Trust boundary dokümantasyonu","ID.AM-03","CA-3","A.5.14","CIS-12","ASVS-5 L1 trust",ASSESS
"LAY-003","MODE ASSESS-ONLY varsayılan","GV.PO-01","PL-1","A.5.1","CIS-4","Policy",ASSESS
"LAY-004","Guardrail banner zorunluluğu","GV.PO-02","PL-2","A.5.1","CIS-14","Policy",ASSESS
"LAY-005","Secret olmayan log katmanı","PR.DS-01 DE.CM","AU-9 SI-12","A.8.15 A.8.12","CIS-3 CIS-8","A02/A09",ASSESS
"LAY-006","Kimlik katmanı — token scope","PR.AA-01","AC-3 AC-6","A.5.15 A.8.2","CIS-5 CIS-6","A07",ASSESS
"LAY-007","Egress bilinçli katman","PR.IR-01","SC-7","A.8.20","CIS-12","A10 SSRF sınıfı",ASSESS
"LAY-008","CI workload sertleştirme katmanı","PR.PS-01","CM-6 SA-12","A.8.9 A.5.21","CIS-4 CIS-16","A08",ASSESS
"LAY-009","Uygulama/script doğrulama katmanı","PR.DS-02","SI-10","A.8.28","CIS-16","ASVS input",ASSESS
"LAY-010","Veri sınıflandırma katmanı","ID.AM-05","RA-2","A.5.12","CIS-3","ASVS data",ASSESS
"LAY-011","Defense detection katmanı","DE.CM-01","SI-4","A.8.16","CIS-8","A09",ASSESS
"LAY-012","Vendored katalog izolasyon katmanı","ID.SC-02","SA-12","A.5.21","CIS-15","Supply chain",ASSESS
"LAY-013","Observability güvenli katman","PR.DS-01","SC-28","A.8.11 A.8.24","CIS-3","A02",ASSESS
"LAY-014","Değişiklik gözetim katmanı","GV.PO ID.RA","CM-3","A.8.32","CIS-4","ASVS change",ASSESS
"LAY-015","Incident hazırlık katmanı","RS.MA-01","IR-4","A.5.24","CIS-17","IR",ASSESS
"LAY-016","Compliance map katmanı","GV.OC-03","CA-2","A.5.35","CIS-4","ASVS-5",ASSESS
"LAY-017","Expert/org katmanı","GV.RR-01","PM-2","A.5.2","CIS-14","Governance",ASSESS
"LAY-018","Research currency katmanı","ID.RA-01","RA-3","A.5.7","CIS-7","ASVS currency",ASSESS
"LAY-019","MCP güvenlik katmanı","PR.AA-05","AC-20","A.5.23","CIS-15","A07",ASSESS
"LAY-020","Arşiv/QA katmanı planı","GV.OV-01","CA-7","A.5.35","CIS-4","QA",ASSESS
"FW-001","Egress allowlist politikası ASSESS","PR.IR-01","SC-7","A.8.20","CIS-12","A10",ASSESS
"FW-002","Runner internet varsayılan reddi (hedef)","PR.IR-02","SC-7","A.8.22","CIS-12","Network",ASSESS
"FW-003","Webhook/inbound yüzey yok teyidi","ID.AM-02","CM-8","A.8.9","CIS-1","ASVS",ASSESS
"FW-004","DNS/dependency domain allowlist ASSESS","ID.SC-03","SA-12","A.5.21","CIS-15","A08",ASSESS
"FW-005","Secret store ağ sınırı","PR.DS-01","SC-7 SC-28","A.8.5","CIS-3","A02",ASSESS
"FW-006","Terraform provider endpoint bilinçli","PR.IR-01","SC-7","A.5.23","CIS-12","Cloud",ASSESS
"FW-007","OTel exporter hedef kontrolü","PR.DS-02","SC-8","A.8.20","CIS-12","A09",ASSESS
"FW-008","PR fork network izolasyonu","PR.AA-05","AC-3","A.8.3","CIS-6","A07",ASSESS
"FW-009","Doküman içi URL allowlist kültürü","GV.PO","SI-3","A.5.7","CIS-14","Content",ASSESS
"FW-010","Shell dangerous pattern deny","PR.PS-02","CM-7","A.8.7","CIS-4","Policy",ASSESS
"FW-011","MCP network varsayılan kapalı","PR.AA","AC-20","A.5.23","CIS-15","A07",ASSESS
"FW-012","Log outbound redaksiyon","PR.DS DE.CM","AU-9","A.8.12","CIS-3 CIS-8","A09",ASSESS
"FW-013","Nightly job rate bilinci","PR.IR","CP-2","A.5.29","CIS-11","DoS sınıfı",ASSESS
"FW-014","Git remote allowlist","PR.AA","AC-3","A.5.14","CIS-6","A07",ASSESS
"FW-015","Dependency proxy yoksa pin","ID.SC","SA-12","A.5.21","CIS-15","A08",ASSESS
"FW-016","Browser/extension N/A beyanı","ID.AM","CM-8","A.5.9","CIS-1","Scope",ASSESS
"FW-017","Email gateway N/A beyanı","ID.AM","CM-8","A.5.9","CIS-1","Scope",ASSESS
"FW-018","Admin interface yok","PR.AA","AC-6","A.8.2","CIS-6","A07",ASSESS
"FW-019","Temporary debug port yasağı","PR.IR","CM-7","A.8.9","CIS-4","ASVS",ASSESS
"FW-020","Firewall kontrol review döngüsü","GV.OV","CA-2","A.5.35","CIS-4","QA",ASSESS
"ENC-001","TLS minimum sürüm politikası","PR.DS-02","SC-8","A.8.24","CIS-3","A02 ASVS crypto",ASSESS
"ENC-002","Certificate verification zorunlu","PR.DS-02","SC-8","A.8.24","CIS-3","A02",ASSESS
"ENC-003","Secret at-rest politikası","PR.DS-01","SC-28","A.8.11","CIS-3","A02",ASSESS
"ENC-004","Sensitive Terraform değişkenleri","PR.DS-01","SC-28","A.8.11","CIS-3","A02",ASSESS
"ENC-005","Remote state encryption ASSESS","PR.DS-01","SC-28","A.8.24","CIS-3","A02",ASSESS
"ENC-006","Key rotation prosedür referansı","PR.AA-03","IA-5 SC-12","A.8.24","CIS-5","A07",ASSESS
"ENC-007","Crypto envanteri","ID.AM-01","CM-8 SC-13","A.5.9","CIS-1","ASVS",ASSESS
"ENC-008","Zayıf algoritma yasak listesi (isim)","PR.DS-02","SC-13","A.8.24","CIS-3","A02",ASSESS
"ENC-009","PQC FIPS 203 farkındalık","ID.RA PR.DS","SC-12 SC-13","A.8.24","CIS-3","ASVS crypto",ASSESS
"ENC-010","PQC FIPS 204 farkındalık","PR.DS","SC-13","A.8.24","CIS-3","A08 signing",ASSESS
"ENC-011","PQC FIPS 205 farkındalık","PR.DS","SC-13","A.8.24","CIS-3","A08",ASSESS
"ENC-012","Crypto-agility gereksinimi","ID.RA-05","SC-13","A.8.24","CIS-4","ASVS",ASSESS
"ENC-013","HNDL risk notu","ID.RA-01","RA-3","A.5.7","CIS-3","A02",ASSESS
"ENC-014","GitHub Secrets şifreleme güveni","PR.DS-01","SC-28","A.8.11","CIS-3","A02",ASSESS
"ENC-015","Log mask encryption-adjacent","PR.DS DE.CM","AU-9","A.8.12","CIS-8","A09",ASSESS
"ENC-016","Commit imza ASVS hedefi","PR.DS-06","SI-7","A.8.26","CIS-16","A08",ASSESS
"ENC-017","Transport integrity LLM API","PR.DS-02","SC-8","A.8.24","CIS-3","A02",ASSESS
"ENC-018","Randomness/stdlib bilinç","PR.DS","SC-12","A.8.24","CIS-3","ASVS",ASSESS
"ENC-019","Vault placeholder standardı","PR.DS-01","IA-5","A.5.15","CIS-3","A02",ASSESS
"ENC-020","ENC review döngüsü","GV.OV","CA-2","A.5.35","CIS-4","QA",ASSESS
"CHG-001","Change advisory gate ASSESS","GV.PO-01","CM-3","A.8.32","CIS-4","ASVS change",ASSESS
"CHG-002","Branch protection ASSESS","PR.PS-01","CM-5","A.8.4 A.8.32","CIS-16","A08",ASSESS
"CHG-003","CODEOWNERS güvenlik yolları","GV.RR","CM-5","A.8.4","CIS-16","A08",ASSESS
"CHG-004","Kontrol üretim batch limiti","GV.OV","CM-3","A.5.1","CIS-4","Process",ASSESS
"CHG-005","Agency/security branch ayrımı","GV.OC","CM-3","A.5.1","CIS-4","Process",ASSESS
"CHG-006","Workflow değişikliği ek review","PR.PS","CM-3 SA-12","A.8.32 A.5.21","CIS-16","A08",ASSESS
"CHG-007","Scanner kural değişikliği denetimi","DE.CM","SI-4 CM-3","A.8.16","CIS-8","Detection",ASSESS
